0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.633,0.778,4,-6.982,0,0.0283,0.187,0.716,0.394,0.929,125.996,4,Deep Dream,STRFKR,50,220417,2020-04-10,7
0.309,0.52,8,-8.472,1,0.0519,0.102,0.00148,0.0796,0.605,179.119,4,Somebody Made For Me,Emitt Rhodes,50,146680,2009-07-14,5
0.542,0.495,10,-13.496,1,0.291,0.666,0.00052,0.33,0.924,109.067,4,Higher,The Memories,27,104653,2011-01-31,4
0.265,0.543,9,-6.411,1,0.0295,0.768,0.000846,0.259,0.103,139.357,4,on air,always centered at night,40,252227,2022-08-10,3
0.501,0.482,9,-7.207,1,0.0272,0.00455,0.00029,0.0881,0.41,145.113,4,Anxious Angel,Johnossi,54,230346,2022-11-12,4
0.795,0.63,6,-4.692,1,0.283,0.344,8.49e-06,0.111,0.802,150.011,4,Pullup (feat. Buddy),Cousin Stizz,16,204746,2017-07-12,3
0.355,0.573,1,-8.372,1,0.0435,0.503,0.00562,0.122,0.402,136.742,4,The Chat,Mild High Club,41,160366,2015-09-18,8
0.422,0.944,2,-5.235,1,0.0424,0.0707,0.159,0.232,0.561,171.148,4,Casual Wrecks,Adult Books,29,203880,2016-03-04,6
0.708,0.879,2,-13.992,1,0.0477,0.939,0.741,0.322,0.942,120.017,4,"High, Hello, I",Free Weed,14,98066,2014-04-20,3
0.509,0.508,9,-11.33,0,0.0319,0.74,0.305,0.0979,0.366,79.923,4,Bum Bum Bum,Cass McCombs,44,299671,2016-08-26,5
0.423,0.378,1,-10.488,0,0.0527,0.702,0.000644,0.146,0.0897,143.432,4,(She's) Just a Phase,Puma Blue,58,186727,2017-06-14,5
0.66,0.465,9,-9.88,1,0.0871,0.763,8.01e-05,0.15,0.391,120.205,4,In a Dream,Hether,35,180000,2019-11-08,6
0.76,0.564,7,-11.164,1,0.0546,0.209,0.0843,0.459,0.683,96.764,4,Tom Toms,Karriem Riggins,27,98706,2012-10-22,2
0.767,0.529,1,-8.947,0,0.0786,0.131,0.885,0.41,0.962,84.018,4,Kid Goku,Maitro,39,154345,2017-04-20,3
0.735,0.569,9,-7.526,1,0.0596,0.125,7.67e-06,0.05,0.826,172.488,4,Girl U Want - 2009 Remaster,DEVO,46,177813,1978,3
0.647,0.398,1,-13.47,0,0.0335,0.804,0.579,0.11,0.199,106.903,4,Untitled 1,Ocelote Rojo,42,171533,2012-03-09,7
0.739,0.693,1,-13.332,1,0.242,0.138,0.929,0.159,0.288,129.991,3,Mayonaise Is NOT an Instrument.,VOKER,8,146254,2019-12-25,5
0.638,0.485,7,-9.539,0,0.093,0.369,0.829,0.102,0.321,131.576,5,The Pyramids,Traffik Island,26,81004,2020-02-21,3
0.622,0.625,5,-10.632,0,0.533,0.592,0.0,0.105,0.679,103.312,4,Intersection,Keith Murray,8,51973,1999-01-07,3
0.581,0.854,1,-8.485,0,0.0428,0.00197,0.0013,0.111,0.788,131.18,4,Limelight,Rush,63,259839,1981-02-12,2
0.82,0.792,1,-10.812,1,0.237,0.068,0.0,0.0756,0.5,89.733,4,Making A Name For Ourselves (Featuring Canibus),Common,17,293000,1997-09-30,3
0.598,0.58,9,-10.105,1,0.0409,0.575,2.17e-05,0.12,0.735,74.855,4,Love's Holiday,"Earth, Wind & Fire",51,262079,1977-11-21,5
0.496,0.625,6,-11.174,0,0.323,0.545,0.000138,0.0884,0.359,111.155,4,Brother's Gonna Work It Out - The Mack/Soundtrack Version,Willie Hutch,39,287666,1973-01-01,3
0.357,0.653,9,-5.554,1,0.0654,0.0828,0.0,0.0844,0.522,176.647,4,Juke Box Hero,Foreigner,66,259800,1981,7
0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,4,Loser,Beck,68,235000,1994-03-01,2
0.376,0.41,2,-11.452,1,0.034,0.753,0.000543,0.234,0.171,100.031,3,Ladies and gentlemen we are floating in space,Spiritualized,51,234053,1997-06-16,3
0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,4,Money Trees,Kendrick Lamar,78,386906,2012,9
0.392,0.627,9,-12.858,1,0.0354,0.95,0.765,0.151,0.666,148.51,4,I'm Terrified,Current Joys,38,151427,2013-01-02,5
0.665,0.552,6,-10.177,1,0.0307,0.493,0.0272,0.421,0.899,96.889,4,(For God's Sake) Give More Power To The People,The Chi-Lites,26,180133,2006,3
0.571,0.474,9,-9.308,0,0.0444,0.863,0.892,0.108,0.14,100.101,3,stones pull out heart,salvia palth,46,135314,2013-01-01,4
0.362,0.646,11,-6.42,1,0.0679,0.0577,0.503,0.197,0.536,81.916,4,Double Trouble,Karriem Riggins,43,116946,2012-10-22,6
0.603,0.918,4,-6.652,0,0.0641,0.216,0.146,0.284,0.452,102.473,4,Money,The Drums,73,233639,2011-01-01,10
0.67,0.484,1,-5.221,0,0.0277,0.62,0.00187,0.0816,0.797,94.974,4,Mnemophobia,Brainstory,58,168386,2019-11-15,10
0.744,0.754,4,-9.235,0,0.333,0.0553,0.00374,0.2,0.527,171.946,4,Host wit da Most - Rappaz Remix,Das EFX,14,212106,1993-11-16,5
0.673,0.843,11,-5.723,0,0.224,0.18,0.0,0.0655,0.836,170.111,4,Killing Fieldz,Gravediggaz,12,227520,2002-04-09,5
0.314,0.527,2,-7.762,1,0.028,0.00026,0.00188,0.0802,0.593,96.072,4,Ooh Child,levitation room,29,180152,2019-10-04,7
0.564,0.904,9,-5.375,0,0.0509,0.16,0.0687,0.347,0.681,156.03,4,Lone Rider,Greyhounds,36,154946,2014-04-08,5
0.707,0.745,2,-6.315,1,0.0412,0.0481,0.000969,0.18,0.3,129.092,4,Savage Good Boy,Japanese Breakfast,48,146184,2021-06-04,3
0.631,0.892,0,-7.155,1,0.0428,0.0473,1.94e-05,0.105,0.781,106.668,4,Walk Right In,Love,32,202244,2015-09-11,7
0.676,0.491,9,-15.126,0,0.0641,0.442,0.0021,0.105,0.648,100.718,4,Dark Star,"Crosby, Stills & Nash",49,285706,1977-06-17,9
0.498,0.23,2,-14.894,1,0.035,0.699,0.0,0.0519,0.218,123.918,4,Buffalo Ballet,John Cale,33,208093,1974-01-01,3
0.628,0.84,3,-5.856,1,0.0345,0.13,0.0,0.0856,0.348,141.981,4,God Is A Girl - Original,Groove Coverage,16,220346,2005-12-21,1
0.429,0.229,8,-15.913,1,0.0377,0.953,0.846,0.0716,0.46,115.484,4,Moon Moods,Dr. Samuel J. Hoffman,30,177666,1947-04-01,2
0.711,0.651,6,-6.739,0,0.519,0.578,0.0,0.176,0.753,124.535,3,Free the Culture,Sons of Light,6,155507,2018-07-20,8
0.763,0.616,0,-8.117,1,0.0365,0.541,0.787,0.113,0.645,94.49,4,Morning Broadway,Keith Mansfield,40,125226,1969-10-01,5
0.631,0.654,9,-4.669,0,0.0361,0.55,0.0,0.0703,0.685,128.499,4,I Can't Make Up My Mind,The Zombies,36,155960,1965-04-30,5
0.656,0.397,11,-14.565,1,0.0375,0.545,0.0,0.122,0.879,145.732,4,Blueberries For Breakfast,The Mamas & The Papas,48,180173,1971-11-01,7
0.494,0.793,10,-6.512,0,0.395,0.301,0.0,0.181,0.895,171.165,4,Manchild,Tekitha,21,238280,1999-06-22,6
0.611,0.625,0,-7.202,1,0.0251,0.0166,0.0285,0.144,0.737,179.89,4,Nothing in This Town,The Dig,36,274496,2018-05-04,6
0.532,0.675,4,-5.914,1,0.0311,0.16,0.000535,0.643,0.64,67.911,4,Video Life,Chris Spedding,36,192960,1978-01-01,10
0.452,0.834,11,-4.657,1,0.0967,0.0417,0.00036,0.119,0.514,142.088,4,When Am I Gonna Lose You,Local Natives,58,264213,2019-04-26,5
0.63,0.694,2,-6.593,1,0.313,0.419,0.0,0.134,0.44,91.749,4,Extinct,REASON,56,222248,2020-10-09,7
0.573,0.815,11,-7.581,0,0.582,0.109,0.0,0.101,0.573,91.813,4,Outside (with Joey Bada$$),WESTSIDE BOOGIE,44,188418,2020-12-11,4
0.586,0.491,2,-12.63,1,0.0524,0.467,0.82,0.113,0.102,199.997,4,Mars balnéaire,Flavien Berger,32,295013,2014-06-23,3
0.706,0.444,1,-9.663,1,0.0438,0.152,0.922,0.0976,0.442,135.006,4,Feyd Rautha Dark Heart,Grimes,34,221905,2010-10-01,4
0.567,0.193,2,-16.011,1,0.036,0.587,0.114,0.114,0.276,127.023,4,She's an Easy Rider,Tucker Zimmerman,29,218093,2006-02-01,4
0.813,0.406,9,-12.626,1,0.0662,0.0203,0.392,0.0757,0.755,122.658,4,Champagne Coast,Blood Orange,48,292373,2011-08-08,3
0.388,0.406,7,-10.666,1,0.0266,0.572,0.0351,0.295,0.51,92.668,4,Reflections of My Life,Marmalade,39,251280,1969-11-14,6
0.574,0.22,0,-10.438,1,0.0426,0.828,7.09e-05,0.218,0.479,77.395,4,The Greatest Love,Lee Dorsey,23,139360,2008-10-14,2
0.861,0.524,2,-10.092,1,0.0566,0.056,0.000352,0.0614,0.818,95.987,4,Won't Give You Up,Tom Tom Club,30,269226,2012-09-11,7
0.87,0.539,10,-9.119,0,0.0963,0.653,0.0,0.113,0.595,140.063,5,"The More, The Better",Ryohu,26,212272,2017-10-11,3
0.636,0.909,6,-5.021,1,0.0506,0.164,0.799,0.338,0.712,113.069,4,Full Metal Jacket,Dirty Art Club,37,128617,2012-07-03,4
0.607,0.333,4,-13.89,0,0.0255,0.55,0.0,0.165,0.499,82.025,4,Interstate Vision,Lomelda,48,162624,2017-09-08,6
0.733,0.644,4,-4.547,0,0.0321,0.0225,0.000368,0.116,0.181,140.04,4,Belgium,Lil Peep,50,240240,2019-11-15,2
0.375,0.766,8,-6.745,0,0.0471,0.0507,0.804,0.384,0.409,128.033,4,ÆJL,Singapore Sling,11,193902,2015-01-03,7
0.878,0.714,8,-6.344,1,0.239,0.0528,7.64e-06,0.143,0.636,150.029,4,Big Shot Cream Soda,$uicideboy$,74,195600,2023-02-15,4
0.641,0.314,2,-11.56,1,0.0375,0.425,0.41,0.116,0.123,95.969,4,Road Of The Lonely Ones,Madlib,49,218466,2021-01-29,8
0.769,0.703,8,-6.583,0,0.0368,0.000795,0.84,0.0982,0.949,113.964,4,Raise Me Up,Hercules & Love Affair,25,231836,2008-02-25,6
0.892,0.632,0,-7.18,1,0.0323,0.166,0.000324,0.0361,0.934,99.245,4,Neither Love Nor Money,Michael Rault,4,204280,2022-06-10,6
0.383,0.143,9,-18.666,1,0.0295,0.768,0.917,0.0904,0.166,102.8,4,Hello Like Before,Bill Withers,24,331013,1975-11-08,5
0.882,0.887,1,-6.397,1,0.103,0.432,0.00048,0.135,0.949,100.948,4,What's On Your Mind (House Party II Rap Theme) - Extended Vocal Version,Eric B. & Rakim,26,321866,2005-06-14,6
0.768,0.584,9,-8.333,0,0.032,0.00683,0.0109,0.0433,0.968,121.744,4,Put It Where You Want It,Average White Band,24,316506,1973,5
0.617,0.561,11,-12.026,1,0.235,0.901,0.00111,0.264,0.618,154.724,4,6 Five Heartbeats (feat. Vince Staples),The Alchemist,61,114092,2021-10-08,6
0.766,0.58,10,-7.051,1,0.0496,0.0109,0.337,0.145,0.852,142.048,4,I'd Rather Sleep,Kero Kero Bonito,63,115352,2014-08-25,5
0.792,0.35,9,-16.725,1,0.482,0.0424,7.72e-05,0.0974,0.166,189.91,4,Love's Gonna Get'cha (Material Love),Boogie Down Productions,34,399760,1990-07-17,4
0.631,0.577,7,-8.794,0,0.0353,0.0327,0.235,0.321,0.304,79.911,4,Explore,Curtis Harding,38,286253,2021-11-05,5
0.946,0.858,11,-4.16,0,0.27,0.169,0.0,0.671,0.702,102.529,4,Chop That Hoe (feat. Baby Bash & Mac Dre),Jay Tee,20,217480,2004-01-01,6
0.748,0.495,4,-7.293,0,0.193,0.0911,7.09e-06,0.161,0.155,89.867,4,I Paid My Dues,Rappin' 4-Tay,25,265466,1996,9
0.662,0.794,1,-4.943,1,0.259,0.0425,0.0,0.164,0.727,165.511,4,We Be Gettin' Chips,Funk Flex,9,266173,2005-12-13,3
0.684,0.805,2,-7.512,0,0.0656,0.224,0.396,0.0794,0.691,90.04,4,Show Me the Right,NEIL FRANCES,56,204000,2017-11-17,7
0.529,0.754,0,-3.167,0,0.182,0.0482,0.00598,0.108,0.422,79.463,4,I Can't Hear You,The Dead Weather,44,215093,2010-05-07,8
0.53,0.843,1,-2.271,1,0.39,0.428,0.0,0.164,0.919,199.946,4,Survival Tactics,Joey Bada$$,65,202784,2012-06-12,9
0.713,0.301,0,-16.236,1,0.0379,0.534,0.973,0.16,0.13,117.272,4,Tony's Theme,Giorgio Moroder,35,190266,1983,6
0.638,0.69,11,-10.362,0,0.255,0.68,0.0,0.168,0.747,84.765,4,Watch Dem Niggas (feat. Foxy Brown),Nas,42,244733,1996-07-02,6
0.472,0.448,11,-10.793,0,0.0944,0.866,0.897,0.085,0.637,94.005,4,Bumble Buddies,Jacob Mann,25,296471,2019-05-01,4
0.765,0.508,9,-10.257,1,0.0369,0.0512,0.886,0.0772,0.907,122.384,4,1517 - Instrumental,The Whitest Boy Alive,20,217426,2009-04-15,9
0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62e-05,0.344,0.902,80.974,4,Cloud 9,Beach Bunny,73,147350,2020-02-14,6
0.803,0.696,7,-11.551,1,0.0834,0.128,0.929,0.0782,0.547,123.998,4,6 AM Mimosa,DJ BORING,38,506770,2017-06-12,6
0.851,0.535,6,-12.51,1,0.0688,0.0214,0.734,0.0662,0.353,122.016,4,Sorry I Am Late - Extended,Kollektiv Turmstrasse,48,489714,2016-07-15,4
0.568,0.636,11,-4.265,1,0.204,0.00671,0.0,0.105,0.879,113.497,5,One Minute (feat. Kanye West & Travis Barker),XXXTENTACION,55,197758,2018-12-07,2
0.491,0.359,4,-10.174,0,0.0298,0.336,0.616,0.126,0.408,182.353,4,Harlem Hendoo,Al Hirt,32,159200,1967-08-21,5
0.925,0.455,6,-7.525,1,0.125,0.355,3.45e-05,0.115,0.885,132.991,4,Knock It Off,Jay Rock,38,191146,2018-06-15,3
0.89,0.617,0,-8.029,0,0.214,0.28,0.0,0.0906,0.383,80.358,4,Drunk (feat. 6LACK),ScHoolboy Q,44,212253,2019-04-26,6
0.65,0.683,2,-6.92,1,0.0516,0.535,0.0163,0.0918,0.837,146.532,4,Cruisin' to the Parque,Durand Jones & The Indications,47,215204,2021-02-17,9
0.807,0.409,9,-9.812,1,0.285,0.239,0.00194,0.0887,0.695,84.975,4,Never Be Another You - Reggae Remix,El Michels Affair,29,188793,2018-10-26,6
0.292,0.371,0,-8.204,1,0.0324,0.445,0.0,0.319,0.369,178.977,3,Sad Girl,The Intruders,48,117133,1968-01-01,6
0.81,0.335,11,-18.149,0,0.357,0.436,0.0,0.112,0.161,119.963,4,275 Be the Team (feat. Chris Travis),Nell,47,256052,2017-10-26,5
0.796,0.345,10,-12.315,1,0.0453,0.281,0.309,0.105,0.32,125.009,4,Redrum,Soudiere,10,184330,2019-01-13,6
0.519,0.447,5,-9.626,1,0.0414,0.0135,0.732,0.149,0.0373,133.932,4,RELEASE,SLIGHT,22,206453,2016-08-29,5
0.529,0.687,7,-9.811,1,0.265,0.0316,4.22e-06,0.684,0.277,172.103,4,Blue Flowers,Dr. Octagon,38,197400,1996-01-01,1
0.717,0.788,4,-5.679,0,0.0714,0.00394,0.833,0.396,0.464,91.394,4,And Your Bird Can Sing,Hi'Spec,22,234113,2019-07-31,6
0.472,0.875,4,-5.024,0,0.0445,0.00356,0.00529,0.128,0.458,136.053,4,Yet Again,Grizzly Bear,46,318423,2012-09-17,5
0.583,0.278,0,-12.279,1,0.0251,0.911,0.849,0.108,0.334,106.969,4,Love Theme,Michael Small,48,87367,1971,7
0.865,0.472,11,-7.359,0,0.237,0.223,5.39e-05,0.109,0.843,130.011,4,Free Lunch,Isaiah Rashad,57,192029,2016-09-02,6
0.435,0.76,8,-4.935,0,0.0721,0.0175,0.0,0.158,0.206,80.082,4,Devil In A New Dress,Kanye West,75,351946,2010-11-22,9
0.774,0.728,8,-5.816,1,0.256,0.16,0.0,0.0717,0.889,95.036,4,Too Good - Unknown Mortal Orchestra Remix,Arlo Parks,44,235005,2021-07-28,4
0.527,0.344,2,-14.171,1,0.0298,0.868,0.14,0.0842,0.0823,86.022,4,Can't Find My Way Home (feat. Eric Clapton),Nathan East,34,332666,2014-03-25,5
0.582,0.451,7,-12.273,0,0.033,0.0514,0.862,0.108,0.559,82.665,4,"Father Bird, Mother Bird",Khruangbin,48,185165,2020-06-26,8
0.524,0.713,7,-6.061,1,0.405,0.104,0.0,0.416,0.398,199.669,4,"Unorthodox (feat. Raekwon, JD Era, Ghostface Killah & RZA)",Tony Touch,8,203266,2013-07-09,3
0.776,0.363,4,-7.309,1,0.0309,0.66,0.0,0.08,0.663,106.611,4,Fue en un café - Under the Boardwalk,Los Apson,56,190613,2013-06-21,6
0.485,0.432,0,-8.261,0,0.0324,0.416,0.00674,0.197,0.214,74.769,4,You Are My Starship (feat. Michael Henderson),Norman Connors,37,271000,1976,8
0.634,0.573,10,-9.819,1,0.0298,0.187,0.821,0.133,0.126,113.999,4,Cut It Upwards,Kelpe,19,394160,2008-02-22,3
0.559,0.624,2,-7.209,1,0.0423,0.0103,0.863,0.225,0.542,89.966,4,Stay Fresh,J Rocc,45,84240,2011-04-05,3
0.522,0.442,9,-10.344,0,0.031,0.653,0.00182,0.611,0.522,73.105,4,Just Because I Really Love You,Jerry Butler,17,158400,1968,5
0.542,0.488,7,-7.337,0,0.0395,0.103,0.865,0.112,0.337,84.79,4,"Summer Madness, Pt. 1",The Soul Surfers,31,178735,2019-09-13,8
0.326,0.524,10,-12.07,0,0.0762,0.0072,0.938,0.16,0.189,131.545,4,The Uncertainty Principle,The Heliocentrics,26,331453,2017-05-26,4
0.761,0.618,0,-10.738,1,0.0403,0.11,0.863,0.371,0.214,125.969,4,Cascabel,Jayda G,14,350870,2016-10-28,3
0.587,0.523,6,-10.615,0,0.0503,0.188,0.0125,0.103,0.62,80.772,4,Crayfish Caper,Surprise Chef,33,409034,2020-07-10,4
0.779,0.592,7,-10.34,1,0.328,0.0853,0.0,0.0619,0.651,95.25,4,Funky Technician,Lord Finesse,30,282678,1990-03-06,8
0.465,0.713,2,-7.493,1,0.0603,0.00796,0.71,0.112,0.472,88.344,4,Drug Song,Janko Nilovic,37,191959,2014-12-15,5
0.576,0.34,9,-10.456,1,0.0262,0.424,0.0,0.1,0.461,83.793,3,I'm Glad - (1966 Demo),Captain Beefheart,34,225426,1999-06-22,8
0.29,0.0584,11,-30.883,0,0.0344,0.985,0.881,0.0942,0.195,74.276,4,La Puerta,Frankie Reyes,48,87212,2016-07-29,5
0.442,0.653,2,-7.891,0,0.0327,0.00683,0.829,0.0685,0.522,160.557,5,Ophis Le Serpentaire,V. Geminiani,8,158663,2018-11-09,4
0.521,0.526,0,-14.215,0,0.0422,0.478,0.935,0.124,0.0904,105.826,4,Ice $ Cold $ Ocean,NxxxxxS,17,308506,2014-10-20,4
0.821,0.517,7,-13.636,1,0.133,0.556,0.874,0.0933,0.743,89.858,4,Dipping Time,tajima hal,7,142281,2021-10-15,2
0.36,0.491,2,-11.413,1,0.0287,0.498,0.748,0.109,0.419,75.314,4,Aeolus,KATZROAR,34,190069,2021-09-09,5
0.851,0.714,11,-4.961,0,0.244,0.023,0.0,0.0651,0.485,105.509,4,I Wana See,DJ Quik,17,339386,2000-05-09,5
0.53,0.689,1,-4.855,1,0.35,0.272,4.68e-06,0.339,0.331,175.734,4,Episode 13 - P.L.O. Remix,Method Man,16,255920,2018-12-14,4
0.524,0.618,9,-11.07,0,0.0481,0.00788,0.68,0.116,0.601,149.596,4,Santana Part I,The Equatics,29,181132,1972,5
0.786,0.517,0,-14.507,1,0.0445,0.034,0.546,0.0998,0.958,136.923,4,Love Plus One,Haircut 100,49,212573,1982,7
0.7,0.654,4,-5.026,1,0.0284,0.379,0.000194,0.293,0.594,113.004,4,Maple Syrup Tears,Huron John,45,193401,2020-04-22,3
0.607,0.651,11,-13.189,1,0.0368,0.00125,0.0802,0.0453,0.768,119.994,4,A Spy in the House of Love,The dB's,34,293866,1984,5
0.803,0.632,0,-8.495,1,0.0313,0.736,0.0374,0.085,0.719,94.002,4,Gold Past Life,Fruit Bats,46,209533,2019-06-21,7
0.544,0.695,9,-8.222,1,0.0583,0.339,0.00536,0.299,0.66,80.833,4,Candle Light,Benny Soebardja,18,189226,2011-03-08,6
0.59,0.612,9,-12.308,0,0.0545,0.0598,0.0245,0.0821,0.9,104.746,4,I'm ready for dancing,Ronald Langestraat,27,237365,2019-01-03,6
0.558,0.586,11,-8.4,1,0.262,0.0802,0.00348,0.136,0.455,170.49,4,It's My Thang,Brain Sick Mob,7,171162,2017-04-09,6
0.325,0.989,11,-9.712,1,0.0494,0.000732,0.869,0.109,0.0381,146.167,4,Lila Engel (Lilac Angel),NEU!,22,277800,1973,4
0.371,0.597,11,-7.334,0,0.0355,0.0056,0.203,0.262,0.804,99.982,4,Going Undercover,The Symposium,30,297859,2019-06-01,8
0.702,0.498,9,-13.355,1,0.0275,0.38,3.91e-05,0.279,0.841,107.302,4,You Can't Make Love,Don Henley,27,213733,1984-01-01,4
